"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","confidence"
"d78d1f90fbf432bb9c3df53ef801ee85","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__",0.726791504207828
"2b4f5c9422274d660058f7471b567299","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Oscillospira",0.855095321937034
"5a18dfbc825b73bc102e9db37e6b1e33","k__Bacteria"," p__Cyanobacteria"," c__4C0d-2"," o__YS2"," f__"," g__",0.99999998980212
"1cdf58163f79b99e06dcfbbcbbe3beff","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999997578103992
"c09074464206817083722a081459ddd1","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.999422328882098
"db526850a437eb63165d52ce1643921e","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__[Ruminococcus]",0.969563247337214
"7e171bfaa2c6a60b2cce7fa9d2bef849","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Clostridiaceae"," g__Candidatus Arthromitus",0.999999999976978
"b619912f29ad67fec970fac9a84dd48d","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.904753642241416
"36e50741c2408bc85da2591ac198279c","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Ruminococcus",0.844958063374747
"2f0cc48595b8d7e288d43d7dfc66ba25","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999999981327157
"3228f851ce969374df8d97f5f08c330b","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Ruminococcus",0.999941712464538
"6ea7bdb7d3293b48398394731ed84de2","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__Coprococcus",0.968241349539019
"c324caeb0754925f72cabb5aabfc2994","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__",0.973656149760082
"d4418e6484d1c62d1d5d265f7fb14b22","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__Dorea",0.963026293936982
"a3ef50a2bcc5e1c9895430a65c32e2ea","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999990661283754
"41431f6bc3715b410ef73e7de4c2d6f2","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.705697569190124
"878d48c230fdec3720d0c87c28e2b8c4","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Oscillospira",0.978333006922926
"00a73e941106c7cab3b93caffda46c28","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__",0.994701696754768
"b8893c29973bee2022caee67a51656f5","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.902079423232237
"2a810af1d5ac1d37e1be2322eef67372","k__Bacteria"," p__Proteobacteria"," c__Deltaproteobacteria"," o__Desulfovibrionales"," f__Desulfovibrionaceae"," g__Bilophila",0.999999398163705
