"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","confidence"
"0d697156cd5695480f8ac2012036bd30","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999829777366
"f9b73ab4681e67d2ef74d706e6074134","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.881404264261769
"40677315a80052365769b4fe4a08bb58","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999012215373
"7405e70dbbe809a04a3a6a585a506592","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999945760764
"80220c4ff96f8950628142a2e581fd1e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999770672671
"2d04c56322be32271ee897844ff844ec","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999997780013081
"34593bd017efc5340d8a2d64671c3efc","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999406621916
"b152d979074da990d9b489280af52965","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999920307274953
"12fe30572e040f588e9fd11cd8524ad8","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999740554562
"8c7e26b63087ee256be111b0093d6f3e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Prevotellaceae"," g__Prevotella",0.999957049872079
"fb3fc6723c3ed135648168e874291b8b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999119286589
"9a005f654d554847dd197ce28acd7476","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.953975037755061
"62f956bffd6dd11d727e7e05deb08add","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99999916907672
"308e2cd842a38e889cb29cc39670604a","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999451601462
"871cf568d041427a5faf28dec39e9f1a","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999995451589
"d6aa4703dcc37126784cace0f17fe204","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999959841216769
"683398d19cd86e3d4c6eca2ad9cb9d9d","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Prevotellaceae"," g__Prevotella",0.999977123970321
"6cd3980e7cd587efaf7551ff2df4b377","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999997785218619
"f3cd6871041f059c8b3608e62a69b19b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999396536563
"37e0848ac386170603ffb706f4971fa6","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.881621872047573
"ce8d166eac2f7d8c188a49987496132a","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999356768648
