,baseMean,log2FoldChange,Absolute,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,New,Order,Family,Genus,Species,Rank1
denovo43901,21.052584230368,-0.821317225880381,0.821317225880381,0.607863354777708,-1.35115436623208,0.176645989135433,0.479152245529862,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo426217,207.415674476911,0.798616577863347,0.798616577863347,0.52149202781149,1.53140706908761,0.125668818080494,0.392455091520542,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo414504,270.333021212775,0.792295112823308,0.792295112823308,0.543128943199928,1.45876061797661,0.144631005385876,0.429930522859386,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo149171,46.7221660441696,-0.786374637357399,0.786374637357399,0.662827773012094,-1.18639361441339,0.235466892287876,0.537855953962834,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo557348,23.031382297097,-0.766665344252577,0.766665344252577,0.501857909474196,-1.5276542020745,0.12659841661953,0.392455091520542,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Oscillospira",Clostridiales,Ruminococcaceae,Oscillospira,NA,NA
denovo423917,16.6903276719623,-0.766448354972534,0.766448354972534,0.777165462572528,-0.986210005312744,0.32403007052133,0.633464191920077,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo325193,25.8286090328314,0.757708079027756,0.757708079027756,0.805259583529496,0.940948849943121,0.346731072190409,0.648592522128711,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo189220,388.360641576242,0.755436088879617,0.755436088879617,0.505612873035962,1.49409979287827,0.135149538124258,0.413062672858649,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_Bacteroidaceae,G_Bacteroides",Bacteroidales,Bacteroidaceae,Bacteroides,NA,NA
denovo191581,19.3874787549949,-0.721452014589075,0.721452014589075,0.654781995604676,-1.10182017745132,0.270539856489401,0.575560282923531,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Oscillospira",Clostridiales,Ruminococcaceae,Oscillospira,NA,NA
denovo336301,20.4860366915565,-0.706160049185959,0.706160049185959,0.681055130730399,-1.03686180064254,0.299800268714203,0.625544791451751,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo396527,13.4269527115869,0.697753495639523,0.697753495639523,0.743784926088412,0.938111907307708,0.348186903198708,0.648592522128711,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo431157,536.554992769208,0.695730629643654,0.695730629643654,0.411023847950534,1.69267703835857,0.09051695822424,0.327369665577669,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo321755,250.467893364514,-0.688731571926799,0.688731571926799,0.754416971810535,-0.912932234641942,0.361278182880512,0.649596174443387,Bacteria,Actinobacteria,Actinobacteria,"O_Bifidobacteriales,F_Bifidobacteriaceae,G_Bifidobacterium",Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,NA
denovo42734,13.7395073934963,0.677864624059969,0.677864624059969,0.598372117811232,1.13284794508726,0.25727811323852,0.569687250742438,Bacteria,Proteobacteria,Deltaproteobacteria,"O_Desulfovibrionales,F_Desulfovibrionaceae,G_Bilophila",Desulfovibrionales,Desulfovibrionaceae,Bilophila,NA,NA
denovo448898,43.4807396221902,0.671169598955872,0.671169598955872,0.492340883587358,1.363221339787,0.172812763757677,0.479152245529862,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo174627,24.8266859595718,-0.663472499501421,0.663472499501421,0.706257442981199,-0.939420187489739,0.347515052253269,0.648592522128711,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_NA",Clostridiales,Ruminococcaceae,NA,NA,NA
denovo336881,10.988863896017,0.655441712181764,0.655441712181764,0.719357855181329,0.911148335228155,0.362217221694239,0.649596174443387,Bacteria,Firmicutes,Bacilli,"O_Lactobacillales,F_Enterococcaceae,G_Enterococcus",Lactobacillales,Enterococcaceae,Enterococcus,NA,NA
denovo286244,8.07345573434548,-0.652932482963185,0.652932482963185,1.48424619065197,-0.439908478172598,0.660003395148187,0.852504385399741,Bacteria,Firmicutes,Erysipelotrichi,"O_Erysipelotrichales,F_Erysipelotrichaceae,G_NA",Erysipelotrichales,Erysipelotrichaceae,NA,NA,NA
denovo100557,615.847845324564,0.650392322647242,0.650392322647242,0.51787286029162,1.25589188489429,0.209155171192614,0.5277520017302,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_Rikenellaceae,G_NA",Bacteroidales,Rikenellaceae,NA,NA,NA
denovo562390,8.36475960521064,0.650090279488252,0.650090279488252,0.654549618714834,0.99318716396881,0.320618752523915,0.633464191920077,NA,NA,NA,"O_NA,F_NA,G_NA",NA,NA,NA,NA,Unassigned
denovo170308,157.789541399113,0.644513989502345,0.644513989502345,0.449961656253745,1.43237536031045,0.152036426248019,0.445836547240811,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_Porphyromonadaceae,G_Parabacteroides",Bacteroidales,Porphyromonadaceae,Parabacteroides,distasonis,NA
denovo303145,297.062837137992,0.638939684327654,0.638939684327654,0.52039945929945,1.22778698730352,0.21952694178781,0.537855953962834,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo386975,9.00654371596688,0.637583594378469,0.637583594378469,0.996502665216614,0.639821263538592,0.522288806989188,0.780649252724622,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo467799,15.0073965514192,-0.618048094133434,0.618048094133434,0.697095909350363,-0.886604104031258,0.375292083531384,0.667527722346806,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
